R&R Stage Regressions by Journal (standard errors clustered by editor)									
		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
		Asinh(Citations)	Asinh(Citations)	Asinh(Citations)	Asinh(Citations)	R&R	R&R	R&R	R&R
VARIABLES	LABELS	QJE	REStud	REStat	JEEA	QJE	REStud	REStat	JEEA
									
rr	R&R	0.09	-0.25	0.67	0.78				
		(0.24)	(0.15)	(0.34)	(0.29)				
rho1		0.41	0.45	-0.01	-0.13				
		(0.13)	(0.07)	(0.22)	(0.16)				
neditor_rr_loo2	neditor_rr_loo2					1.69	4.34	2.82	1.01
						(4.22)	(1.53)	(1.13)	(1.50)
frReject	frReject	0.59	0.83	0.73	0.39	0.97	0.70	0.83	1.36
		(0.09)	(0.11)	(0.17)	(0.09)	(0.28)	(0.23)	(0.37)	(0.54)
frNoRec	frNoRec	1.22	1.09	0.89	0.52	3.36	2.48	2.74	3.29
		(0.22)	(0.18)	(0.25)	(0.13)	(0.46)	(0.29)	(0.41)	(0.65)
frWeakRR	frWeakRR	1.59	1.80	1.03	0.97	2.85	3.66	2.89	3.64
		(0.06)	(0.17)	(0.23)	(0.14)	(0.28)	(0.25)	(0.33)	(0.65)
frRR	frRR	1.96	2.34	1.33	1.22	4.43	5.34	4.21	5.03
		(0.15)	(0.22)	(0.29)	(0.13)	(0.31)	(0.32)	(0.41)	(0.74)
frStrongRR	frStrongRR	2.60	2.87	1.34	1.22	5.09	6.46	5.29	6.31
		(0.31)	(0.28)	(0.38)	(0.32)	(0.32)	(0.37)	(0.43)	(0.74)
frAccept	frAccept	2.40	2.49	1.58	1.58	5.36	5.60	4.86	6.41
		(0.11)	(0.23)	(0.35)	(0.54)	(0.22)	(0.38)	(0.42)	(0.84)
pub1	Publications: 1	0.37	0.30	0.27	0.21	0.14	0.09	-0.06	-0.05
		(0.08)	(0.08)	(0.08)	(0.09)	(0.06)	(0.11)	(0.10)	(0.13)
pub2	Publications: 2	0.42	0.63	0.47	0.42	0.33	-0.01	0.18	0.29
		(0.05)	(0.06)	(0.13)	(0.08)	(0.14)	(0.13)	(0.13)	(0.14)
pub3	Publications: 3	0.73	0.65	0.66	0.49	0.49	0.16	0.25	0.27
		(0.05)	(0.04)	(0.10)	(0.07)	(0.11)	(0.17)	(0.15)	(0.10)
pub45	Publications: 4-5	0.90	0.95	0.82	0.50	0.56	0.08	0.27	0.56
		(0.12)	(0.08)	(0.11)	(0.08)	(0.12)	(0.14)	(0.14)	(0.16)
pub6	Publications: 6+	1.03	1.06	0.87	0.88	0.69	0.24	0.29	0.76
		(0.12)	(0.09)	(0.13)	(0.13)	(0.17)	(0.17)	(0.12)	(0.09)
fr_lab	Field Fraction: Lab/Experiments	-1.15	-0.50	-0.39	0.06	0.12	-1.15	0.12	0.18
		(0.16)	(0.23)	(0.39)	(0.28)	(0.28)	(0.22)	(0.72)	(0.27)
fr_labor	Field Fraction: Labor	-0.45	-0.29	-0.08	0.06	0.45	-0.25	-0.40	0.43
		(0.13)	(0.12)	(0.21)	(0.17)	(0.08)	(0.15)	(0.21)	(0.22)
fr_healthurblaw	Field Fraction: Health, Urban, Law	-0.73	-0.11	-0.30	-0.10	0.26	0.11	-0.13	-0.10
		(0.27)	(0.13)	(0.20)	(0.28)	(0.19)	(0.26)	(0.32)	(0.45)
fr_dev	Field Fraction: Development	-0.17	-0.44	-0.29	-0.26	0.68	0.14	0.24	0.05
		(0.18)	(0.26)	(0.26)	(0.19)	(0.12)	(0.27)	(0.32)	(0.38)
fr_hist	Field Fraction: History	-1.27	0.22	-0.03	0.28	1.09	-0.60	0.36	0.79
		(0.35)	(0.38)	(0.33)	(0.54)	(0.28)	(0.63)	(0.56)	(0.52)
fr_pub	Field Fraction: Public	-0.71	-0.63	-0.28	0.14	0.15	-0.13	-0.24	0.46
		(0.14)	(0.17)	(0.38)	(0.22)	(0.18)	(0.30)	(0.32)	(0.30)
fr_io	Field Fraction: Industrial Organization	-0.67	-0.41	-0.67	-0.09	0.49	-0.10	0.23	-0.19
		(0.17)	(0.25)	(0.28)	(0.25)	(0.26)	(0.16)	(0.35)	(0.30)
fr_fin	Field Fraction: Finance	-0.21	-0.76	-0.79	-0.36	0.53	0.10	-0.40	0.40
		(0.12)	(0.14)	(0.31)	(0.22)	(0.24)	(0.21)	(0.40)	(0.24)
fr_macro	Field Fraction: Macro	-0.45	-0.41	-0.94	-0.13	0.44	-0.29	-0.42	0.11
		(0.23)	(0.19)	(0.22)	(0.20)	(0.22)	(0.21)	(0.25)	(0.18)
missingfield	Field Missing	-0.55	-0.40	-0.42	-0.23	0.63	-0.49	-0.22	-0.24
		(0.32)	(0.31)	(0.17)	(0.21)	(0.34)	(0.29)	(0.32)	(0.19)
fr_micro	Field Fraction: Micro	-0.79	-0.91	-0.81	-0.33	0.55	0.20	-0.28	-0.08
		(0.13)	(0.14)	(0.31)	(0.17)	(0.17)	(0.18)	(0.33)	(0.23)
fr_other	Field Fraction: Unclassified	-0.64	-0.46	-0.68	0.08	0.34	-0.62	-0.04	0.25
		(0.14)	(0.16)	(0.31)	(0.17)	(0.24)	(0.35)	(0.29)	(0.29)
fr_theory	Field Fraction: Theory	-1.25	-0.96	-0.95	-0.82	0.39	-0.06	-0.61	0.17
		(0.21)	(0.18)	(0.55)	(0.19)	(0.12)	(0.18)	(0.43)	(0.16)
fr_metrics	Field Fraction: Econometrics	-0.89	-0.62	-0.62	-0.36	0.95	-0.53	-0.44	1.00
		(0.30)	(0.16)	(0.19)	(0.34)	(0.42)	(0.17)	(0.24)	(0.26)
									
Observations		4,195	5,311	2,391	3,280	4,195	5,311	2,391	3,280
R-squared		0.28	0.25	0.27	0.23				
Authors		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Controls for Field of Paper		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Indicators fors Year		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Pseudo-R^2						0.45	0.52	0.48	0.51
Robust standard errors in parentheses									
