="RR-stage regressions: paper outcomes by referee using: Ref_Prom3 (robust SEs)"

="",="(1)",="(2)"
="",="asinh(cites) both",="RR"

="alpha",="",=""
="_cons",="1.263",="-3.810"
="",="(0.375)",="(0.565)"

="Int_Ref_Prom3",="",=""
="_cons",="0.176",="-0.624"
="",="(0.143)",="(0.499)"

="Slope_Ref_Prom3",="",=""
="_cons",="0.005",="0.263"
="",="(0.188)",="(0.117)"

="Slope_JEL_Intl_fr",="",=""
="_cons",="-0.504",="0.529"
="",="(0.359)",="(0.229)"

="Slope_JEL_Exp_fr",="",=""
="_cons",="-0.239",="-0.218"
="",="(0.942)",="(0.633)"

="Slope_JEL_Labor_fr",="",=""
="_cons",="-1.144",="0.081"
="",="(0.439)",="(0.214)"

="Slope_JEL_HealthUrbLaw_fr",="",=""
="_cons",="-0.557",="0.011"
="",="(0.643)",="(0.363)"

="Slope_JEL_Dev_fr",="",=""
="_cons",="-1.400",="0.201"
="",="(0.777)",="(0.315)"

="Slope_JEL_Hist_fr",="",=""
="_cons",="0.455",="-0.124"
="",="(0.430)",="(0.526)"

="Slope_JEL_Pub_fr",="",=""
="_cons",="0.386",="-0.350"
="",="(0.295)",="(0.331)"

="Slope_JEL_IO_fr",="",=""
="_cons",="-0.728",="0.006"
="",="(0.381)",="(0.338)"

="Slope_JEL_Fin_fr",="",=""
="_cons",="-0.267",="0.381"
="",="(0.380)",="(0.234)"

="Slope_JEL_Macro_fr",="",=""
="_cons",="-0.541",="0.257"
="",="(0.265)",="(0.323)"

="Slope_JEL_Theory_fr",="",=""
="_cons",="-0.817",="0.126"
="",="(0.303)",="(0.290)"

="Slope_JEL_Micro_fr",="",=""
="_cons",="0.095",="0.151"
="",="(0.175)",="(0.327)"

="Slope_JEL_Other_fr",="",=""
="_cons",="-0.288",="-0.583"
="",="(0.261)",="(0.220)"

="Slope_JEL_Metrics_fr",="",=""
="_cons",="-0.359",="0.092"
="",="(0.995)",="(0.593)"

="Rej",="",=""
="_cons",="0.540",="0.994"
="",="(0.182)",="(0.494)"

="NoRec",="",=""
="_cons",="0.740",="2.733"
="",="(0.213)",="(0.716)"

="WeakRR",="",=""
="_cons",="1.549",="2.980"
="",="(0.298)",="(0.767)"

="RR",="",=""
="_cons",="1.975",="4.254"
="",="(0.354)",="(0.974)"

="StrongRR",="",=""
="_cons",="1.794",="5.260"
="",="(0.463)",="(1.173)"

="Accept",="",=""
="_cons",="2.157",="5.397"
="",="(0.679)",="(1.196)"

="ap_AuthPubs_1",="",=""
="_cons",="0.190",=""
="",="(0.090)",=""

="ap_AuthPubs_2",="",=""
="_cons",="0.422",=""
="",="(0.077)",=""

="ap_AuthPubs_3",="",=""
="_cons",="0.487",=""
="",="(0.072)",=""

="ap_AuthPubs_4",="",=""
="_cons",="0.511",=""
="",="(0.077)",=""

="ap_AuthPubs_6",="",=""
="_cons",="0.885",=""
="",="(0.107)",=""

="na_NAuthors_2",="",=""
="_cons",="0.356",=""
="",="(0.082)",=""

="na_NAuthors_3",="",=""
="_cons",="0.451",=""
="",="(0.095)",=""

="na_NAuthors_4",="",=""
="_cons",="0.654",=""
="",="(0.125)",=""

="ffr_JEL_Intl_fr",="",=""
="_cons",="0.559",=""
="",="(0.397)",=""

="ffr_JEL_Exp_fr",="",=""
="_cons",="0.479",=""
="",="(0.695)",=""

="ffr_JEL_Labor_fr",="",=""
="_cons",="0.937",=""
="",="(0.205)",=""

="ffr_JEL_HealthUrbLaw_fr",="",=""
="_cons",="0.535",=""
="",="(0.530)",=""

="ffr_JEL_Dev_fr",="",=""
="_cons",="0.733",=""
="",="(0.284)",=""

="ffr_JEL_Hist_fr",="",=""
="_cons",="0.032",=""
="",="(0.965)",=""

="ffr_JEL_Pub_fr",="",=""
="_cons",="0.165",=""
="",="(0.445)",=""

="ffr_JEL_IO_fr",="",=""
="_cons",="0.611",=""
="",="(0.367)",=""

="ffr_JEL_Fin_fr",="",=""
="_cons",="0.102",=""
="",="(0.415)",=""

="ffr_JEL_Macro_fr",="",=""
="_cons",="0.498",=""
="",="(0.262)",=""

="ffr_JEL_Theory_fr",="",=""
="_cons",="-0.040",=""
="",="(0.364)",=""

="ffr_JEL_Micro_fr",="",=""
="_cons",="-0.126",=""
="",="(0.232)",=""

="ffr_JEL_Other_fr",="",=""
="_cons",="0.556",=""
="",="(0.172)",=""

="ffr_JEL_Metrics_fr",="",=""
="_cons",="0.176",=""
="",="(0.809)",=""

="yr_Year_2004",="",=""
="_cons",="0.284",=""
="",="(0.200)",=""

="yr_Year_2005",="",=""
="_cons",="0.292",=""
="",="(0.316)",=""

="yr_Year_2006",="",=""
="_cons",="0.255",=""
="",="(0.373)",=""

="yr_Year_2007",="",=""
="_cons",="-0.080",=""
