="RR-stage regressions: paper outcomes by referee using: Ref_Prom3 (robust SEs)"

="",="(1)",="(2)"
="",="asinh(cites) both",="RR"

="alpha",="",=""
="_cons",="1.611",="-5.024"
="",="(0.602)",="(1.510)"

="Int_Ref_Prom3",="",=""
="_cons",="0.303",="-0.218"
="",="(0.104)",="(0.213)"

="Slope_Ref_Prom3",="",=""
="_cons",="-0.030",="0.135"
="",="(0.093)",="(0.052)"

="Slope_JEL_Intl_fr",="",=""
="_cons",="0.501",="-0.109"
="",="(0.531)",="(0.368)"

="Slope_JEL_Exp_fr",="",=""
="_cons",="0.149",="0.701"
="",="(0.579)",="(0.442)"

="Slope_JEL_Labor_fr",="",=""
="_cons",="0.234",="0.108"
="",="(0.501)",="(0.361)"

="Slope_JEL_HealthUrbLaw_fr",="",=""
="_cons",="0.295",="0.187"
="",="(0.421)",="(0.438)"

="Slope_JEL_Dev_fr",="",=""
="_cons",="-0.034",="-0.276"
="",="(0.617)",="(0.401)"

="Slope_JEL_Hist_fr",="",=""
="_cons",="0.357",="-0.551"
="",="(0.731)",="(0.843)"

="Slope_JEL_Pub_fr",="",=""
="_cons",="0.250",="-0.537"
="",="(0.480)",="(0.287)"

="Slope_JEL_IO_fr",="",=""
="_cons",="0.582",="0.245"
="",="(0.467)",="(0.427)"

="Slope_JEL_Fin_fr",="",=""
="_cons",="0.114",="-0.056"
="",="(0.431)",="(0.422)"

="Slope_JEL_Macro_fr",="",=""
="_cons",="0.120",="-0.112"
="",="(0.435)",="(0.379)"

="Slope_JEL_Theory_fr",="",=""
="_cons",="-0.227",="-0.163"
="",="(0.454)",="(0.370)"

="Slope_JEL_Micro_fr",="",=""
="_cons",="0.098",="-0.096"
="",="(0.424)",="(0.408)"

="Slope_JEL_Other_fr",="",=""
="_cons",="0.371",="-0.199"
="",="(0.523)",="(0.480)"

="Slope_JEL_Metrics_fr",="",=""
="_cons",="-0.333",="0.033"
="",="(0.428)",="(0.306)"

="Rej",="",=""
="_cons",="0.774",="0.676"
="",="(0.335)",="(0.324)"

="NoRec",="",=""
="_cons",="0.951",="2.416"
="",="(0.512)",="(0.709)"

="WeakRR",="",=""
="_cons",="1.655",="3.700"
="",="(0.724)",="(1.313)"

="RR",="",=""
="_cons",="2.061",="5.310"
="",="(0.935)",="(1.874)"

="StrongRR",="",=""
="_cons",="2.521",="6.491"
="",="(1.166)",="(2.333)"

="Accept",="",=""
="_cons",="2.355",="5.722"
="",="(1.079)",="(1.939)"

="ap_AuthPubs_1",="",=""
="_cons",="0.282",=""
="",="(0.079)",=""

="ap_AuthPubs_2",="",=""
="_cons",="0.609",=""
="",="(0.057)",=""

="ap_AuthPubs_3",="",=""
="_cons",="0.617",=""
="",="(0.040)",=""

="ap_AuthPubs_4",="",=""
="_cons",="0.921",=""
="",="(0.082)",=""

="ap_AuthPubs_6",="",=""
="_cons",="1.022",=""
="",="(0.086)",=""

="na_NAuthors_2",="",=""
="_cons",="0.231",=""
="",="(0.072)",=""

="na_NAuthors_3",="",=""
="_cons",="0.317",=""
="",="(0.079)",=""

="na_NAuthors_4",="",=""
="_cons",="0.569",=""
="",="(0.079)",=""

="ffr_JEL_Intl_fr",="",=""
="_cons",="-0.214",=""
="",="(0.756)",=""

="ffr_JEL_Exp_fr",="",=""
="_cons",="-0.243",=""
="",="(0.632)",=""

="ffr_JEL_Labor_fr",="",=""
="_cons",="-0.101",=""
="",="(0.678)",=""

="ffr_JEL_HealthUrbLaw_fr",="",=""
="_cons",="-0.030",=""
="",="(0.647)",=""

="ffr_JEL_Dev_fr",="",=""
="_cons",="0.021",=""
="",="(0.791)",=""

="ffr_JEL_Hist_fr",="",=""
="_cons",="0.191",=""
="",="(0.919)",=""

="ffr_JEL_Pub_fr",="",=""
="_cons",="-0.480",=""
="",="(0.664)",=""

="ffr_JEL_IO_fr",="",=""
="_cons",="-0.667",=""
="",="(0.673)",=""

="ffr_JEL_Fin_fr",="",=""
="_cons",="-0.474",=""
="",="(0.581)",=""

="ffr_JEL_Macro_fr",="",=""
="_cons",="-0.145",=""
="",="(0.582)",=""

="ffr_JEL_Theory_fr",="",=""
="_cons",="-0.332",=""
="",="(0.584)",=""

="ffr_JEL_Micro_fr",="",=""
="_cons",="-0.597",=""
="",="(0.619)",=""

="ffr_JEL_Other_fr",="",=""
="_cons",="-0.437",=""
="",="(0.671)",=""

="ffr_JEL_Metrics_fr",="",=""
="_cons",="0.103",=""
="",="(0.567)",=""

="yr_Year_2006",="",=""
="_cons",="0.009",=""
="",="(0.158)",=""

="yr_Year_2007",="",=""
="_cons",="-0.247",=""
="",="(0.152)",=""

="yr_Year_2008",="",=""
="_cons",="-0.319",=""
="",="(0.168)",=""

="yr_Year_2009",="",=""
