="RR-stage regressions: paper outcomes by referee using: Ref_Prom3 (robust SEs)"

="",="(1)",="(2)"
="",="asinh(cites) both",="RR"

="alpha",="",=""
="_cons",="1.138",="-3.754"
="",="(0.307)",="(0.338)"

="Int_Ref_Prom3",="",=""
="_cons",="0.302",="-0.321"
="",="(0.060)",="(0.152)"

="Slope_Ref_Prom3",="",=""
="_cons",="-0.014",="0.193"
="",="(0.060)",="(0.036)"

="Slope_Journal_QJE",="",=""
="_cons",="0.271",="-0.144"
="",="(0.072)",="(0.088)"

="Slope_Journal_REStat",="",=""
="_cons",="-0.075",="-0.094"
="",="(0.117)",="(0.099)"

="Slope_Journal_REStud",="",=""
="_cons",="0.273",="0.075"
="",="(0.083)",="(0.095)"

="Slope_JEL_Intl_fr",="",=""
="_cons",="-0.065",="0.199"
="",="(0.185)",="(0.113)"

="Slope_JEL_Exp_fr",="",=""
="_cons",="-0.417",="0.140"
="",="(0.344)",="(0.346)"

="Slope_JEL_Labor_fr",="",=""
="_cons",="-0.233",="0.127"
="",="(0.136)",="(0.105)"

="Slope_JEL_HealthUrbLaw_fr",="",=""
="_cons",="-0.133",="-0.034"
="",="(0.162)",="(0.134)"

="Slope_JEL_Dev_fr",="",=""
="_cons",="-0.245",="0.137"
="",="(0.305)",="(0.133)"

="Slope_JEL_Hist_fr",="",=""
="_cons",="-0.574",="-0.141"
="",="(0.424)",="(0.207)"

="Slope_JEL_Pub_fr",="",=""
="_cons",="-0.034",="0.025"
="",="(0.151)",="(0.167)"

="Slope_JEL_IO_fr",="",=""
="_cons",="-0.126",="0.267"
="",="(0.151)",="(0.145)"

="Slope_JEL_Fin_fr",="",=""
="_cons",="-0.225",="0.202"
="",="(0.162)",="(0.132)"

="Slope_JEL_Macro_fr",="",=""
="_cons",="-0.214",="0.118"
="",="(0.130)",="(0.120)"

="Slope_JEL_Theory_fr",="",=""
="_cons",="-0.541",="0.075"
="",="(0.206)",="(0.111)"

="Slope_JEL_Micro_fr",="",=""
="_cons",="-0.235",="0.122"
="",="(0.116)",="(0.118)"

="Slope_JEL_Other_fr",="",=""
="_cons",="-0.167",="-0.022"
="",="(0.184)",="(0.164)"

="Slope_JEL_Metrics_fr",="",=""
="_cons",="-0.657",="-0.104"
="",="(0.229)",="(0.164)"

="Rej",="",=""
="_cons",="0.739",="0.705"
="",="(0.103)",="(0.158)"

="NoRec",="",=""
="_cons",="1.005",="2.319"
="",="(0.132)",="(0.260)"

="WeakRR",="",=""
="_cons",="1.595",="2.730"
="",="(0.184)",="(0.308)"

="RR",="",=""
="_cons",="2.007",="4.015"
="",="(0.223)",="(0.432)"

="StrongRR",="",=""
="_cons",="2.351",="4.865"
="",="(0.296)",="(0.506)"

="Accept",="",=""
="_cons",="2.455",="4.704"
="",="(0.319)",="(0.494)"

="ap_AuthPubs_1",="",=""
="_cons",="0.276",=""
="",="(0.042)",=""

="ap_AuthPubs_2",="",=""
="_cons",="0.493",=""
="",="(0.043)",=""

="ap_AuthPubs_3",="",=""
="_cons",="0.633",=""
="",="(0.035)",=""

="ap_AuthPubs_4",="",=""
="_cons",="0.827",=""
="",="(0.053)",=""

="ap_AuthPubs_6",="",=""
="_cons",="0.974",=""
="",="(0.055)",=""

="na_NAuthors_2",="",=""
="_cons",="0.229",=""
="",="(0.040)",=""

="na_NAuthors_3",="",=""
="_cons",="0.313",=""
="",="(0.046)",=""

="na_NAuthors_4",="",=""
="_cons",="0.456",=""
="",="(0.058)",=""

="j_Journal_REStat",="",=""
="_cons",="0.547",=""
="",="(0.333)",=""

="j_Journal_REStud",="",=""
="_cons",="0.159",=""
="",="(0.363)",=""

="j_Journal_QJE",="",=""
="_cons",="0.667",=""
="",="(0.357)",=""

="ffr_JEL_Intl_fr",="",=""
="_cons",="0.470",=""
="",="(0.232)",=""

="ffr_JEL_Exp_fr",="",=""
="_cons",="0.240",=""
="",="(0.260)",=""

="ffr_JEL_Labor_fr",="",=""
="_cons",="0.445",=""
="",="(0.164)",=""

="ffr_JEL_HealthUrbLaw_fr",="",=""
="_cons",="0.164",=""
="",="(0.185)",=""

="ffr_JEL_Dev_fr",="",=""
="_cons",="0.420",=""
="",="(0.241)",=""

="ffr_JEL_Hist_fr",="",=""
="_cons",="0.495",=""
="",="(0.379)",=""

="ffr_JEL_Pub_fr",="",=""
="_cons",="0.026",=""
="",="(0.196)",=""

="ffr_JEL_IO_fr",="",=""
="_cons",="0.108",=""
="",="(0.205)",=""

="ffr_JEL_Fin_fr",="",=""
="_cons",="0.153",=""
="",="(0.184)",=""

="ffr_JEL_Macro_fr",="",=""
="_cons",="0.183",=""
="",="(0.155)",=""

="ffr_JEL_Theory_fr",="",=""
="_cons",="-0.080",=""
="",="(0.222)",=""

="ffr_JEL_Micro_fr",="",=""
="_cons",="-0.110",=""
="",="(0.134)",=""

="ffr_JEL_Other_fr",="",=""
="_cons",="0.161",=""
="",="(0.203)",=""

="ffr_JEL_Metrics_fr",="",=""
="_cons",="0.408",=""
="",="(0.216)",=""

="jr_JournalYear_JEEA2004",="",=""
="_cons",="0.247",=""
="",="(0.174)",=""

="jr_JournalYear_JEEA2005",="",=""
="_cons",="0.290",=""
="",="(0.291)",=""

="jr_JournalYear_JEEA2006",="",=""
="_cons",="0.298",=""
="",="(0.310)",=""

="jr_JournalYear_JEEA2007",="",=""
="_cons",="0.011",=""
="",="(0.300)",=""

="jr_JournalYear_JEEA2008",="",=""
="_cons",="-0.309",=""
="",="(0.338)",=""

="jr_JournalYear_JEEA2009",="",=""
="_cons",="-0.466",=""
="",="(0.354)",=""

="jr_JournalYear_JEEA2010",="",=""
="_cons",="-0.241",=""
="",="(0.368)",=""

="jr_JournalYear_JEEA2011",="",=""
="_cons",="-0.675",=""
="",="(0.362)",=""

="jr_JournalYear_JEEA2012",="",=""
="_cons",="-0.854",=""
="",="(0.358)",=""

="jr_JournalYear_JEEA2013",="",=""
="_cons",="-1.209",=""
="",="(0.348)",=""

="jr_JournalYear_REStat2007",="",=""
="_cons",="-0.102",=""
="",="(0.137)",=""

="jr_JournalYear_REStat2008",="",=""
="_cons",="-0.489",=""
="",="(0.054)",=""

="jr_JournalYear_REStat2009",="",=""
="_cons",="-0.732",=""
="",="(0.127)",=""

="jr_JournalYear_REStat2010",="",=""
="_cons",="-0.978",=""
="",="(0.064)",=""

="jr_JournalYear_REStat2011",="",=""
="_cons",="-1.091",=""
="",="(0.115)",=""

="jr_JournalYear_REStat2012",="",=""
="_cons",="-1.466",=""
="",="(0.196)",=""

="jr_JournalYear_REStat2013",="",=""
="_cons",="-1.825",=""
="",="(0.059)",=""

="jr_JournalYear_REStud2006",="",=""
="_cons",="0.024",=""
="",="(0.135)",=""

="jr_JournalYear_REStud2007",="",=""
="_cons",="-0.242",=""
="",="(0.145)",=""

="jr_JournalYear_REStud2008",="",=""
="_cons",="-0.317",=""
="",="(0.154)",=""

="jr_JournalYear_REStud2009",="",=""
="_cons",="-0.455",=""
="",="(0.125)",=""

="jr_JournalYear_REStud2010",="",=""
="_cons",="-0.518",=""
="",="(0.149)",=""

="jr_JournalYear_REStud2011",="",=""
="_cons",="-0.793",=""
="",="(0.132)",=""

="jr_JournalYear_REStud2012",="",=""
="_cons",="-0.945",=""
="",="(0.166)",=""

="jr_JournalYear_REStud2013",="",=""
="_cons",="-1.193",=""
="",="(0.116)",=""

="jr_JournalYear_QJE2006",="",=""
="_cons",="0.023",=""
="",="(0.168)",=""

="jr_JournalYear_QJE2007",="",=""
="_cons",="0.025",=""
="",="(0.040)",=""

="jr_JournalYear_QJE2008",="",=""
="_cons",="-0.319",=""
="",="(0.181)",=""

="jr_JournalYear_QJE2009",="",=""
="_cons",="-0.416",=""
="",="(0.113)",=""

="jr_JournalYear_QJE2010",="",=""
="_cons",="-0.591",=""
="",="(0.137)",=""

="jr_JournalYear_QJE2011",="",=""
="_cons",="-0.753",=""
="",="(0.144)",=""

="jr_JournalYear_QJE2012",="",=""
="_cons",="-1.198",=""
="",="(0.120)",=""

="jr_JournalYear_QJE2013",="",=""
="_cons",="-1.711",=""
="",="(0.174)",=""

="Control_RR",="",=""
="_cons",="0.177",=""
="",="(0.131)",=""

="Control_fn",="",=""
="_cons",="0.252",=""
="",="(0.075)",=""

="ap",="",=""
="AuthPubs_1",="",="0.036"
="",="",="(0.051)"

="AuthPubs_2",="",="0.159"
