="RR-stage regressions: paper outcomes by referee using: Ref_Prom3 Ref_NPastRepEd_asinh (robust SEs)"

="",="(1)",="(2)"
="",="asinh(cites) both",="RR"

="alpha",="",=""
="_cons",="1.157",="-3.637"
="",="(0.313)",="(0.315)"

="Int_Ref_Prom3",="",=""
="_cons",="0.305",="-0.277"
="",="(0.060)",="(0.158)"

="Int_Ref_NPastRepEd_asinh",="",=""
="_cons",="-0.047",="-0.118"
="",="(0.033)",="(0.073)"

="Slope_Ref_Prom3",="",=""
="_cons",="-0.022",="0.171"
="",="(0.058)",="(0.037)"

="Slope_Ref_NPastRepEd_asinh",="",=""
="_cons",="0.065",="0.075"
="",="(0.027)",="(0.021)"

="Slope_Journal_QJE",="",=""
="_cons",="0.257",="-0.173"
="",="(0.070)",="(0.089)"

="Slope_Journal_REStat",="",=""
="_cons",="-0.078",="-0.067"
="",="(0.121)",="(0.099)"

="Slope_Journal_REStud",="",=""
="_cons",="0.278",="0.075"
="",="(0.082)",="(0.091)"

="Slope_JEL_Intl_fr",="",=""
="_cons",="-0.068",="0.198"
="",="(0.187)",="(0.111)"

="Slope_JEL_Exp_fr",="",=""
="_cons",="-0.467",="0.324"
="",="(0.362)",="(0.245)"

="Slope_JEL_Labor_fr",="",=""
="_cons",="-0.307",="0.105"
="",="(0.137)",="(0.110)"

="Slope_JEL_HealthUrbLaw_fr",="",=""
="_cons",="-0.188",="-0.075"
="",="(0.169)",="(0.136)"

="Slope_JEL_Dev_fr",="",=""
="_cons",="-0.228",="0.123"
="",="(0.312)",="(0.132)"

="Slope_JEL_Hist_fr",="",=""
="_cons",="-0.643",="-0.116"
="",="(0.410)",="(0.187)"

="Slope_JEL_Pub_fr",="",=""
="_cons",="-0.114",="-0.005"
="",="(0.157)",="(0.174)"

="Slope_JEL_IO_fr",="",=""
="_cons",="-0.146",="0.286"
="",="(0.152)",="(0.144)"

="Slope_JEL_Fin_fr",="",=""
="_cons",="-0.239",="0.202"
="",="(0.160)",="(0.130)"

="Slope_JEL_Macro_fr",="",=""
="_cons",="-0.220",="0.107"
="",="(0.137)",="(0.120)"

="Slope_JEL_Theory_fr",="",=""
="_cons",="-0.563",="0.056"
="",="(0.212)",="(0.108)"

="Slope_JEL_Micro_fr",="",=""
="_cons",="-0.256",="0.111"
="",="(0.122)",="(0.117)"

="Slope_JEL_Other_fr",="",=""
="_cons",="-0.202",="-0.061"
="",="(0.185)",="(0.162)"

="Slope_JEL_Metrics_fr",="",=""
="_cons",="-0.666",="-0.112"
="",="(0.227)",="(0.160)"

="Rej",="",=""
="_cons",="0.724",="0.676"
="",="(0.107)",="(0.148)"

="NoRec",="",=""
="_cons",="0.974",="2.226"
="",="(0.134)",="(0.242)"

="WeakRR",="",=""
="_cons",="1.559",="2.626"
="",="(0.189)",="(0.297)"

="RR",="",=""
="_cons",="1.968",="3.894"
="",="(0.230)",="(0.418)"

="StrongRR",="",=""
="_cons",="2.287",="4.737"
="",="(0.298)",="(0.489)"

="Accept",="",=""
="_cons",="2.413",="4.578"
="",="(0.321)",="(0.480)"

="ap_AuthPubs_1",="",=""
="_cons",="0.277",=""
="",="(0.042)",=""

="ap_AuthPubs_2",="",=""
="_cons",="0.493",=""
="",="(0.043)",=""

="ap_AuthPubs_3",="",=""
="_cons",="0.634",=""
="",="(0.035)",=""

="ap_AuthPubs_4",="",=""
="_cons",="0.827",=""
="",="(0.053)",=""

="ap_AuthPubs_6",="",=""
="_cons",="0.973",=""
="",="(0.055)",=""

="na_NAuthors_2",="",=""
="_cons",="0.228",=""
="",="(0.041)",=""

="na_NAuthors_3",="",=""
="_cons",="0.311",=""
="",="(0.046)",=""

="na_NAuthors_4",="",=""
="_cons",="0.451",=""
="",="(0.058)",=""

="j_Journal_REStat",="",=""
="_cons",="0.547",=""
="",="(0.336)",=""

="j_Journal_REStud",="",=""
="_cons",="0.160",=""
="",="(0.363)",=""

="j_Journal_QJE",="",=""
="_cons",="0.689",=""
="",="(0.360)",=""

="ffr_JEL_Intl_fr",="",=""
="_cons",="0.472",=""
="",="(0.235)",=""

="ffr_JEL_Exp_fr",="",=""
="_cons",="0.285",=""
="",="(0.265)",=""

="ffr_JEL_Labor_fr",="",=""
="_cons",="0.505",=""
="",="(0.161)",=""

="ffr_JEL_HealthUrbLaw_fr",="",=""
="_cons",="0.211",=""
="",="(0.182)",=""

="ffr_JEL_Dev_fr",="",=""
="_cons",="0.402",=""
="",="(0.252)",=""

="ffr_JEL_Hist_fr",="",=""
="_cons",="0.554",=""
="",="(0.384)",=""

="ffr_JEL_Pub_fr",="",=""
="_cons",="0.105",=""
="",="(0.199)",=""

="ffr_JEL_IO_fr",="",=""
="_cons",="0.128",=""
="",="(0.207)",=""

="ffr_JEL_Fin_fr",="",=""
="_cons",="0.167",=""
="",="(0.181)",=""

="ffr_JEL_Macro_fr",="",=""
="_cons",="0.187",=""
="",="(0.163)",=""

="ffr_JEL_Theory_fr",="",=""
="_cons",="-0.064",=""
="",="(0.228)",=""

="ffr_JEL_Micro_fr",="",=""
="_cons",="-0.092",=""
="",="(0.134)",=""

="ffr_JEL_Other_fr",="",=""
="_cons",="0.192",=""
="",="(0.204)",=""

="ffr_JEL_Metrics_fr",="",=""
="_cons",="0.415",=""
="",="(0.217)",=""

="jr_JournalYear_JEEA2004",="",=""
="_cons",="0.245",=""
="",="(0.175)",=""

="jr_JournalYear_JEEA2005",="",=""
="_cons",="0.284",=""
="",="(0.294)",=""

="jr_JournalYear_JEEA2006",="",=""
="_cons",="0.292",=""
="",="(0.311)",=""

="jr_JournalYear_JEEA2007",="",=""
="_cons",="0.004",=""
="",="(0.300)",=""

="jr_JournalYear_JEEA2008",="",=""
="_cons",="-0.315",=""
="",="(0.338)",=""

="jr_JournalYear_JEEA2009",="",=""
="_cons",="-0.473",=""
="",="(0.356)",=""

="jr_JournalYear_JEEA2010",="",=""
="_cons",="-0.250",=""
="",="(0.369)",=""

="jr_JournalYear_JEEA2011",="",=""
="_cons",="-0.683",=""
="",="(0.363)",=""

="jr_JournalYear_JEEA2012",="",=""
="_cons",="-0.863",=""
="",="(0.358)",=""

="jr_JournalYear_JEEA2013",="",=""
="_cons",="-1.217",=""
="",="(0.349)",=""

="jr_JournalYear_REStat2007",="",=""
="_cons",="-0.107",=""
="",="(0.137)",=""

="jr_JournalYear_REStat2008",="",=""
="_cons",="-0.496",=""
="",="(0.054)",=""

="jr_JournalYear_REStat2009",="",=""
="_cons",="-0.741",=""
="",="(0.126)",=""

="jr_JournalYear_REStat2010",="",=""
="_cons",="-0.982",=""
="",="(0.066)",=""

="jr_JournalYear_REStat2011",="",=""
="_cons",="-1.094",=""
="",="(0.115)",=""

="jr_JournalYear_REStat2012",="",=""
="_cons",="-1.472",=""
="",="(0.199)",=""

="jr_JournalYear_REStat2013",="",=""
="_cons",="-1.833",=""
="",="(0.060)",=""

="jr_JournalYear_REStud2006",="",=""
="_cons",="0.019",=""
="",="(0.136)",=""

="jr_JournalYear_REStud2007",="",=""
="_cons",="-0.253",=""
="",="(0.146)",=""

="jr_JournalYear_REStud2008",="",=""
="_cons",="-0.328",=""
="",="(0.155)",=""

="jr_JournalYear_REStud2009",="",=""
="_cons",="-0.465",=""
="",="(0.127)",=""

="jr_JournalYear_REStud2010",="",=""
="_cons",="-0.526",=""
="",="(0.152)",=""

="jr_JournalYear_REStud2011",="",=""
="_cons",="-0.801",=""
="",="(0.134)",=""

="jr_JournalYear_REStud2012",="",=""
="_cons",="-0.956",=""
="",="(0.168)",=""

="jr_JournalYear_REStud2013",="",=""
="_cons",="-1.205",=""
="",="(0.117)",=""

="jr_JournalYear_QJE2006",="",=""
="_cons",="0.008",=""
="",="(0.172)",=""

="jr_JournalYear_QJE2007",="",=""
="_cons",="0.004",=""
="",="(0.045)",=""

="jr_JournalYear_QJE2008",="",=""
="_cons",="-0.340",=""
="",="(0.191)",=""

="jr_JournalYear_QJE2009",="",=""
="_cons",="-0.436",=""
="",="(0.124)",=""

="jr_JournalYear_QJE2010",="",=""
="_cons",="-0.613",=""
="",="(0.148)",=""

="jr_JournalYear_QJE2011",="",=""
="_cons",="-0.777",=""
="",="(0.154)",=""

="jr_JournalYear_QJE2012",="",=""
="_cons",="-1.225",=""
="",="(0.135)",=""

="jr_JournalYear_QJE2013",="",=""
="_cons",="-1.739",=""
="",="(0.182)",=""

