Alternative Dependent Variables (standard errors clustered by editor)									
		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
		Asinh(Citations)	GScitePct	Top-Cited	OLS Top 5% asinh	Ln(Citations+1)	Tobit Asinh(WOScites)	Tobit Asinh(WOScites)	Asinh(Citations)
VARIABLES	LABELS	All Years	All Years	All Years	Pooled	All Years	2006-2010	2006-2010	All Years
									
frReject	frReject	0.67	11.04	0.28	0.34	0.57	0.94		0.56
		(0.06)	(0.99)	(0.09)	(0.09)	(0.05)	(0.17)		(0.06)
frNoRec	frNoRec	1.01	16.63	0.54	0.66	0.86	2.03		0.98
		(0.10)	(1.50)	(0.11)	(0.15)	(0.09)	(0.27)		(0.10)
frWeakRR	frWeakRR	1.47	23.89	0.76	0.81	1.26	1.88		1.29
		(0.10)	(1.47)	(0.11)	(0.13)	(0.09)	(0.23)		(0.10)
frRR	frRR	1.92	31.55	1.04	1.10	1.64	2.55		1.63
		(0.13)	(2.05)	(0.14)	(0.16)	(0.12)	(0.31)		(0.14)
frStrongRR	frStrongRR	2.27	37.37	1.17	1.30	1.95	3.34		1.98
		(0.22)	(3.06)	(0.22)	(0.25)	(0.20)	(0.49)		(0.22)
frAccept	frAccept	2.33	37.78	1.31	1.46	2.01	3.98		1.92
		(0.19)	(2.66)	(0.20)	(0.22)	(0.18)	(0.46)		(0.19)
pub1	Publications: 1	0.28	4.38	0.17	0.14	0.24	0.42		0.21
		(0.04)	(0.65)	(0.04)	(0.05)	(0.04)	(0.09)		(0.04)
pub2	Publications: 2	0.50	8.05	0.32	0.26	0.43	0.86		0.42
		(0.04)	(0.67)	(0.04)	(0.05)	(0.04)	(0.10)		(0.04)
pub3	Publications: 3	0.65	10.46	0.40	0.44	0.56	0.77		0.52
		(0.04)	(0.53)	(0.05)	(0.05)	(0.03)	(0.09)		(0.04)
pub45	Publications: 4-5	0.85	13.25	0.50	0.54	0.74	1.32		0.68
		(0.05)	(0.73)	(0.05)	(0.05)	(0.05)	(0.12)		(0.04)
pub6	Publications: 6+	1.01	15.36	0.69	0.71	0.89	1.34		0.92
		(0.06)	(0.85)	(0.05)	(0.05)	(0.05)	(0.14)		(0.05)
rr	R&R	0.07	-1.02	0.24	0.16	0.11	0.73		0.17
		(0.14)	(2.25)	(0.12)	(0.14)	(0.13)	(0.36)		(0.13)
rho1	rho1	0.32	5.57	0.14	0.20	0.26	0.52		0.24
		(0.08)	(1.29)	(0.08)	(0.08)	(0.07)	(0.22)		(0.08)
									
Observations		15,177	15,177	15,177	15,177	15,177	8,208	8,208	13,581
R-squared		0.27	0.20			0.28			0.30
Pseudo-R^2				0.15	0.15		0.0671	0.0671	
Robust standard errors in parentheses									
