		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)
		All Papers	All Papers	All Papers	All Papers	All Papers	All Papers	All Papers	All Papers	All Papers	All Papers	All Papers	All Papers	All Papers	All Papers	All Papers	Non-Desk-Rejected Papers	Non-Desk-Rejected Papers	Non-Desk-Rejected Papers	Non-Desk-Rejected Papers	Non-Desk-Rejected Papers	Non-Desk-Rejected Papers	Non-Desk-Rejected Papers	Non-Desk-Rejected Papers	Non-Desk-Rejected Papers	Non-Desk-Rejected Papers	Non-Desk-Rejected Papers	Non-Desk-Rejected Papers	Non-Desk-Rejected Papers	Non-Desk-Rejected Papers
		Pooled	Pooled	Pooled	QJE	QJE	QJE	REStat	REStat	REStat	JEEA	JEEA	JEEA	REStud	REStud	REStud	Pooled	Pooled	QJE	QJE	QJE	REStat	REStat	REStat	JEEA	JEEA	JEEA	REStud	REStud	REStud
VARIABLES	LABELS	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean
																														
asinh_cites	asinh_cites	2.11	1.86	29,872.00	2.19	1.95	10,824.00	2.03	1.76	5,767.00	2.23	1.82	4,946.00	1.99	1.81	8,335.00	2.74	1.84	3.21	1.88	4,195.00	2.62	1.76	2,391.00	2.47	1.83	3,280.00	2.57	1.78	5,311.00
notdeskrej	Not Desk Rejected	0.58	0.49	29,872.00	0.40	0.49	10,824.00	0.46	0.50	5,767.00	0.76	0.43	4,946.00	0.80	0.40	8,335.00	1.00	0.00	1.00	0.00	4,195.00	1.00	0.00	2,391.00	1.00	0.00	3,280.00	1.00	0.00	5,311.00
rr	R&R	0.08	0.27	29,872.00	0.04	0.20	10,824.00	0.12	0.33	5,767.00	0.11	0.31	4,946.00	0.08	0.27	8,335.00	0.15	0.35	0.11	0.31	4,195.00	0.26	0.44	2,391.00	0.14	0.35	3,280.00	0.13	0.33	5,311.00
pub0	Publications: 0	0.46	0.50	29,872.00	0.46	0.50	10,824.00	0.48	0.50	5,767.00	0.45	0.50	4,946.00	0.44	0.50	8,335.00	0.32	0.46	0.24	0.43	4,195.00	0.38	0.48	2,391.00	0.39	0.49	3,280.00	0.30	0.46	5,311.00
pub1	Publications: 1	0.17	0.37	29,872.00	0.16	0.36	10,824.00	0.20	0.40	5,767.00	0.18	0.39	4,946.00	0.15	0.36	8,335.00	0.17	0.38	0.16	0.36	4,195.00	0.20	0.40	2,391.00	0.18	0.38	3,280.00	0.16	0.37	5,311.00
